Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Training Stress Score®,Grit,Flow,Tauchzeit,Minimale Temperatur,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Laufen,2022-01-05 06:28:41,false,"Dübendorf Laufen","6.21","424","00:33:05","151","185","170","177","5:20","3:53","85","84","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","01:00.62","7","0.0","00:32:57","00:33:05","435","518"
Laufen,2022-01-04 06:45:11,false,"Dübendorf Laufen","6.00","441","00:33:56","160","192","158","187","5:39","4:16","151","150","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:01.55","7","0.0","00:33:05","00:40:08","434","587"
Laufen,2022-01-03 07:31:49,false,"Dübendorf Laufen","3.65","244","00:19:45","150","166","169","176","5:25","4:35","3","5","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","03:14.66","4","0.0","00:19:44","00:24:50","433","441"
Laufen,2022-01-02 08:42:25,false,"Dübendorf Laufen","6.42","455","00:37:29","150","181","171","218","5:51","4:25","138","136","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","02:15.09","7","0.0","00:37:19","00:37:29","433","567"
Laufen,2021-12-30 08:33:44,false,"Benediktbeuern Laufen","2.38","153","00:12:10","147","159","172","179","5:07","4:38","15","13","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","01:51.69","3","0.0","00:12:03","00:12:10","638","657"
Laufen,2021-12-29 06:59:59,false,"Benediktbeuern Laufen","2.01","128","00:10:22","144","156","171","180","5:09","4:33","15","10","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:03.79","3","0.0","00:10:16","00:10:22","639","656"
Laufen,2021-12-24 08:16:08,false,"Benediktbeuern Laufen","8.01","520","00:38:56","161","172","174","181","4:52","4:22","75","75","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:01.26","9","0.0","00:38:51","00:38:56","628","680"
Laufen,2021-12-19 08:10:12,false,"Schliersee Laufen","3.35","228","00:17:45","154","177","167","179","5:18","4:19","106","108","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","02:32.55","4","0.0","00:17:31","00:17:45","1,086","1,126"
Laufen,2021-12-17 10:47:04,false,"Benediktbeuern Laufen","3.59","220","00:17:26","145","163","172","180","4:52","4:16","38","35","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","02:37.64","4","0.0","00:17:20","00:17:26","639","681"
Laufen,2021-12-16 07:26:19,false,"Benediktbeuern Laufen","2.18","135","00:11:15","140","151","169","177","5:10","4:38","20","16","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:54.26","3","0.0","00:11:07","00:11:29","639","659"
Laufen,2021-12-15 08:12:29,false,"Benediktbeuern Laufen","6.45","412","00:33:20","149","160","173","181","5:10","4:42","66","63","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","02:16.88","7","0.0","00:33:01","00:33:20","632","666"
Laufen,2021-12-14 07:08:13,false,"Benediktbeuern Laufen","12.00","1,006","01:17:09","163","189","153","185","6:26","3:48","446","445","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:00.25","13","0.0","01:14:33","01:17:12","639","1,015"
Laufen,2021-12-13 19:11:05,false,"Benediktbeuern Laufen","2.00","131","00:11:39","138","158","158","230","5:48","2:53","9","8","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:03.13","3","0.0","00:11:31","00:11:39","638","644"
Laufen,2021-12-13 07:48:42,false,"Benediktbeuern Laufen","1.48","87","00:07:08.5","146","164","171","208","4:50","3:41","13","12","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","01:58.79","2","0.0","00:07:08.5","00:07:08.5","639","656"
Laufen,2021-12-08 08:29:20,false,"Benediktbeuern Laufen","1.16","67","00:05:53.8","133","148","172","177","5:05","4:30","6","6","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:48.80","2","0.0","00:05:53.8","00:05:53.8","640","649"
Laufen,2021-12-07 15:11:12,false,"Benediktbeuern Laufen","4.18","245","00:20:02","146","168","173","183","4:48","4:15","42","43","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:54.30","5","0.0","00:19:53","00:32:17","638","679"
Laufen,2021-12-06 07:49:40,false,"Benediktbeuern Laufen","3.86","251","00:20:28","150","176","168","210","5:18","4:28","74","72","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","04:11.96","4","0.0","00:20:17","00:20:28","639","715"
Laufen,2021-12-03 07:26:46,false,"Benediktbeuern Laufen","2.35","154","00:12:40","149","160","171","177","5:23","4:11","15","15","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","01:58.23","3","0.0","00:12:39","00:12:40","638","656"
Laufen,2021-12-02 07:58:44,false,"Benediktbeuern Laufen","5.72","363","00:30:32","147","165","172","179","5:20","4:38","39","39","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:31.88","7","0.0","00:30:29","00:30:33","614","655"
